label,_data_name,_user_name,_number,x_acc_min,y_acc_min,z_acc_min,norm_acc_min,x_gyro_min,y_gyro_min,z_gyro_min,norm_gyro_min,x_acc_max,y_acc_max,z_acc_max,norm_acc_max,x_gyro_max,y_gyro_max,z_gyro_max,norm_gyro_max,x_acc_mean,y_acc_mean,z_acc_mean,norm_acc_mean,x_gyro_mean,y_gyro_mean,z_gyro_mean,norm_gyro_mean,x_acc_var,y_acc_var,z_acc_var,norm_acc_var,x_gyro_var,y_gyro_var,z_gyro_var,norm_gyro_var,x_acc_std,y_acc_std,z_acc_std,norm_acc_std,x_gyro_std,y_gyro_std,z_gyro_std,norm_gyro_std,x_acc_median,y_acc_median,z_acc_median,norm_acc_median,x_gyro_median,y_gyro_median,z_gyro_median,norm_gyro_median,x_acc_zcr,y_acc_zcr,z_acc_zcr,norm_acc_zcr,x_gyro_zcr,y_gyro_zcr,z_gyro_zcr,norm_gyro_zcr
2,20-15-17,20-15,17,-0.9602518,-1.0328345,-0.35985565,0.11308660641779399,-1.3402767,-0.35540968,-0.43277687,0.1631851177263937,0.5273433,1.234582,0.80741787,1.3429169919424542,1.1469253,0.307205,0.83878815,1.3967136723852551,-0.050323900967741926,-0.11357770651612904,0.11198231254193551,0.5771386474720326,0.21364358474193548,0.014334258912903224,0.25245818851612906,0.6852574074500596,0.11800672658163233,0.2352322333235938,0.0732283922867941,0.11118020954592421,0.32436995994241535,0.027288131845494164,0.11531639258693424,0.09498117496393171,0.34352107152492456,0.48500745697730646,0.270607450538218,0.3334369648763079,0.5695348627980691,0.16519119784508546,0.3395826741559914,0.3081901603944093,0.004088402,-0.14965725,0.0609051,0.488510118239321,0.3163932,-0.0074570784,0.321986,0.6632957004450306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,20-15-17,20-15,17,-0.9602518,-1.0328345,-0.7686587,0.11308660641779399,-1.3402767,-0.35540968,-0.3925619,0.1631851177263937,0.5273433,1.1854444,0.80741787,1.3429169919424542,1.1469253,0.27191705,0.83878815,1.3967136723852551,-0.01593080548387096,-0.1691028651935484,0.03378330554193551,0.5588239786641758,0.31339489370967744,-0.029029340816129037,0.3260624759354839,0.6902632825551624,0.09882090900734723,0.17045210437456676,0.11660688092922408,0.0941767579005821,0.22693647541343817,0.032747526145597415,0.10134129005494812,0.08090143931488007,0.3143579313574691,0.41285845561713613,0.34147749695876606,0.3068823193026638,0.47637850015868494,0.18096277557994467,0.31834146769616445,0.2844317832361216,0.004088402,-0.18506908,0.053581,0.488510118239321,0.37338656,-0.023170209,0.42864886,0.7443877004168457,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,20-15-17,20-15,17,-0.9602518,-1.0328345,-9.714062,0.22213755798233004,-3.007067,-0.35540968,-0.9178865,0.2783996734558063,6.4493985,5.4759607,0.80741787,12.88192094136549,1.1469253,0.8999096,0.83878815,3.270291249650925,0.3062528163870968,0.15980869932258063,-0.5213332015548386,1.252796352752006,0.19300774564516127,0.030584332603225805,0.3388503348387097,0.8348619698448968,1.6425613172811984,1.622166511928379,4.0825711707472445,6.129638853905698,0.6088836721749528,0.08081680723498953,0.13777091156669682,0.265350904050348,1.2816244837241517,1.2736430080396857,2.0205373470310426,2.4758107467869386,0.780309984669524,0.28428297035698347,0.37117504168073695,0.5151222224388577,0.03364849,-0.15586925,-0.0037605762,0.5716467705768496,0.37338656,-0.014514671,0.43956816,0.7748546930275777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,20-15-17,20-15,17,-0.9602518,-6.680995,-9.714062,0.22213755798233004,-3.5125504,-0.35540968,-8.081475,0.4625946634846749,10.937067,5.4759607,2.5100214,12.89669600191809,1.1469253,0.8999096,0.83878815,8.817270939498412,0.7972071663870969,-0.22001500067741936,-0.36207178958064506,1.8481658212181584,0.07980705758064516,0.06427434808709678,-0.06503463858064515,1.239512259251288,5.39746535582172,3.4753679426577824,4.561878040225699,10.747347114950166,1.065207439145971,0.10256641541911166,2.9354024135415386,2.530793463804164,2.3232445751193995,1.8642338755257566,2.135855341596359,3.278314676011161,1.0320888717285788,0.3202599185335431,1.7133016119590674,1.590846775715425,0.109846115,-0.27491903,0.0609051,0.578800734978265,0.33596802,0.0007989727,0.43956816,0.839201012579149,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,20-15-17,20-15,17,-0.9602518,-6.680995,-9.714062,0.22213755798233004,-3.5125504,-0.35540968,-8.081475,0.18859179071266438,10.937067,5.4759607,2.5100214,12.89669600191809,1.1469253,0.8999096,0.83878815,8.817270939498412,0.8864755341290325,-0.11835730261290323,-0.2856404992580645,1.9013280556982008,0.15334691016129035,0.0690638885064516,-0.03359119741935484,1.1911136789103023,5.245115575609509,3.527029634379482,4.732348017626595,10.679762318842139,0.9748578980923057,0.10225932441339378,2.9367323726768313,2.5781999854579563,2.2902217306648516,1.8780387733961943,2.1753960599455437,3.267990562844718,0.9873489241865339,0.31978011885261687,1.7136896955624235,1.6056774226032937,0.2405901,-0.15586925,0.080895066,0.6012833053413398,0.33596802,0.029295666,0.43956816,0.8159870195346317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,20-15-17,20-15,17,-0.34978986,-6.680995,-9.714062,0.22213755798233004,-3.5125504,-0.65715504,-8.081475,0.18859179071266438,10.937067,5.4759607,2.5100214,12.89669600191809,1.0703571,0.8999096,0.83878815,8.817270939498412,0.9058121576774195,-0.03524260035483872,-0.3346638524838709,1.9575232629235713,0.14462264338709677,0.059428964796774196,-0.032014729354838706,1.1966677797038168,5.188453541209067,3.627572055599749,4.785828168795299,10.607088716590807,0.9785445776477842,0.11188337470941495,2.938171961666305,2.575173882066707,2.27781771465784,1.9046186115859913,2.1876535760479308,3.256852578271053,0.9892141212335094,0.3344897228756288,1.7141096702563419,1.6047348323217476,0.2405901,-0.14090443,0.080895066,0.6012833053413398,0.3163932,0.029295666,0.44609308,0.8159870195346317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,20-15-17,20-15,17,-0.5501003,-6.680995,-9.714062,0.22213755798233004,-3.5125504,-0.65715504,-8.081475,0.1777885370618663,10.937067,5.4759607,2.5100214,12.89669600191809,1.0703571,0.8999096,0.83878815,8.817270939498412,0.8500290480000001,-0.004790626000000011,-0.31060977829032255,1.9415058687436428,0.09735438806451614,0.029042228764516127,-0.06924857438709678,1.1927129388919961,5.292718777367112,3.609974676981734,4.801637574695335,10.655590281873843,1.0097983228573617,0.12921561332849799,2.908615451477255,2.593267010657113,2.300590962637016,1.8999933360361383,2.191263921734517,3.2642901650854883,1.0048872189740308,0.35946573317702757,1.705466344281603,1.6103623848864308,0.118468285,-0.104735136,0.08219546,0.578800734978265,0.3163932,0.0007989727,0.3898987,0.839201012579149,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,20-15-17,20-15,17,-0.5501003,-6.680995,-9.714062,0.22213755798233004,-3.5125504,-0.65715504,-8.081475,0.09306250594765622,10.937067,5.4759607,2.5100214,12.89669600191809,1.0703571,0.8999096,0.83878815,8.817270939498412,0.8363816214193549,0.003940185483870958,-0.29425848067741933,1.9388964399582849,0.04822615767741937,0.02495286316129032,-0.10769806235483871,1.1539739884728126,5.307370345019058,3.6068533599269483,4.821501087158211,10.663437128724206,1.0010246183279699,0.12979891395771695,2.890123858021927,2.6599350816759344,2.303773067170258,1.8991717562998214,2.195791676630142,3.2654918662774537,1.0005121780008326,0.3602761634603613,1.7000364284396752,1.6309307409194096,0.109846115,-0.06505585,0.153393,0.578800734978265,0.24621676,-0.014514671,0.34568885,0.839201012579149,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,20-15-17,20-15,17,-0.5501003,-6.680995,-9.714062,0.22213755798233004,-3.5125504,-0.65715504,-8.081475,0.09306250594765622,10.937067,5.4759607,2.5100214,12.89669600191809,1.0703571,0.8999096,0.83878815,8.817270939498412,0.8267826661612904,0.032042221967741924,-0.2728842840645161,1.9432197966311675,0.010867739612903236,0.02054992229032258,-0.16157717151612902,1.0959005109666906,5.321455760469348,3.6027219938805244,4.843387569769367,10.649956224160238,0.9788157670013969,0.1291488755200094,2.847172615408055,2.7416419060676094,2.3068280734526683,1.89808376893132,2.2007697675516553,3.263427067387938,0.9893511848688498,0.3593728920216568,1.6873566947767906,1.6557904173136193,0.07666969,-0.007899284,0.25155473,0.578800734978265,0.17137964,-0.014514671,0.22198124,0.8159870195346317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,20-15-17,20-15,17,-0.5501003,-6.680995,-9.714062,0.22213755798233004,-3.5125504,-0.65715504,-8.081475,0.034513915070619926,10.937067,5.4759607,2.5100214,12.89669600191809,1.0703571,0.8999096,0.83878815,8.817270939498412,0.8324009037419355,0.03232252551612902,-0.2742335314838709,1.938632451498313,-0.0543000823548387,-0.005927862129032259,-0.20289608719354837,1.0197027069340416,5.308983344111499,3.602289911884467,4.841574428844765,10.664053418101101,0.9263846855881661,0.12224816262839652,2.8166149408408243,2.836416534225821,2.304123118262455,1.8979699449370813,2.2003577956425096,3.2655862288570945,0.9624887976429471,0.3496400472320019,1.6782773730348701,1.6841664211786853,0.07666969,0.01307869,0.25155473,0.578800734978265,0.0769677,-0.015579968,0.15739763,0.7549760568247131,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
