"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
5.876018690E-1,-3.870390654E-1,9.757930756E0,7.046862841E-1
5.898413090E-1,-3.726821244E-1,9.752547264E0,7.142575383E-1
5.920729990E-1,-3.870390654E-1,9.753145218E0,7.094719410E-1
5.943003550E-1,-3.966103494E-1,9.748359680E0,7.136593461E-1
5.965494400E-1,-3.918247223E-1,9.781260490E0,7.375875711E-1
5.987838760E-1,-3.822534084E-1,9.766903877E0,7.663014531E-1
6.010137950E-1,-3.631108403E-1,9.771091461E0,7.812566161E-1
6.032594010E-1,-3.589234054E-1,9.766305923E0,7.950153351E-1
6.054961560E-1,-3.589234054E-1,9.761520386E0,7.764709592E-1
6.077359630E-1,-3.541377485E-1,9.756733894E0,7.621139884E-1
6.099698500E-1,-3.397808075E-1,9.747162819E0,7.764709592E-1
6.122066050E-1,-3.302095234E-1,9.761520386E0,7.716853023E-1
6.144437270E-1,-3.589234054E-1,9.766305923E0,7.764709592E-1
6.166812760E-1,-3.445664644E-1,9.751948357E0,7.716853023E-1
6.189169930E-1,-3.302095234E-1,9.747162819E0,7.716853023E-1
6.211533830E-1,-3.296113312E-1,9.761520386E0,7.477570772E-1
6.233901990E-1,-3.535395563E-1,9.756733894E0,7.477570772E-1
6.256273210E-1,-3.493520916E-1,9.732806206E0,7.381857634E-1
6.278644420E-1,-3.535395563E-1,9.747760773E0,7.190431952E-1
6.301011970E-1,-3.487538993E-1,9.738189697E0,7.190431952E-1
6.323388680E-1,-3.439682424E-1,9.738189697E0,6.999006271E-1
6.345749520E-1,-3.535395563E-1,9.733404160E0,6.903293133E-1
6.368110360E-1,-3.726821244E-1,9.742975235E0,6.711867452E-1
6.390473650E-1,-3.726821244E-1,9.724431038E0,6.711867452E-1
6.412843030E-1,-3.678964674E-1,9.724431038E0,6.568298340E-1
6.435213640E-1,-3.870390654E-1,9.710074425E0,6.281159520E-1
6.457584240E-1,-4.055834413E-1,9.725028992E0,6.137589812E-1
6.479949350E-1,-4.205385745E-1,9.720243454E0,6.185446382E-1
6.502318130E-1,-4.247260094E-1,9.725028992E0,6.089733839E-1
6.524694840E-1,-4.199403822E-1,9.744172096E0,6.041877270E-1
6.547052010E-1,-4.582255483E-1,9.739984512E0,5.988038778E-1
6.569422620E-1,-4.384847581E-1,9.749555588E0,5.706881881E-1
6.591785290E-1,-4.486542344E-1,9.744770050E0,5.844469070E-1
6.614156510E-1,-4.767699242E-1,9.759725571E0,5.892325640E-1
6.636524060E-1,-4.815555513E-1,9.764511108E0,5.700899959E-1
6.658862920E-1,-4.624129832E-1,9.764511108E0,5.653043389E-1
6.681143200E-1,-4.671986103E-1,9.759725571E0,5.653043389E-1
6.703635880E-1,-4.815555513E-1,9.774082184E0,5.653043389E-1
6.725993670E-1,-4.618147612E-1,9.774082184E0,5.318048596E-1
6.748389910E-1,-4.671986103E-1,9.769296646E0,5.413761139E-1
6.770728770E-1,-4.815555513E-1,9.764511108E0,5.365904570E-1
6.793098770E-1,-4.719842672E-1,9.754940033E0,5.270192027E-1
6.815465100E-1,-4.713860750E-1,9.778867722E0,5.365904570E-1
6.837832650E-1,-4.618147612E-1,9.764511108E0,5.180460811E-1
6.860202650E-1,-4.905286431E-1,9.765109062E0,5.222335458E-1
6.882576920E-1,-4.570291340E-1,9.764511108E0,5.132604837E-1
6.904937150E-1,-4.336991012E-1,9.749555588E0,5.180460811E-1
6.927273570E-1,-4.378865361E-1,9.750154495E0,5.036891699E-1
6.949552020E-1,-4.474578202E-1,9.774082184E0,5.228317380E-1
6.972039200E-1,-4.474578202E-1,9.769296646E0,5.132604837E-1
6.994407970E-1,-4.522434771E-1,9.750154495E0,5.036891699E-1
7.016807880E-1,-4.522434771E-1,9.774082184E0,5.180460811E-1
7.039156510E-1,-4.570291340E-1,9.754940033E0,5.036891699E-1
7.061521620E-1,-4.528416991E-1,9.750154495E0,5.180460811E-1
7.083877580E-1,-4.612165689E-1,9.788438797E0,4.941178858E-1
7.106243300E-1,-4.618147612E-1,9.764511108E0,5.180460811E-1
7.128610850E-1,-4.522434771E-1,9.769296646E0,5.132604837E-1
7.150979630E-1,-4.671986103E-1,9.764511108E0,5.509474277E-1
7.173347790E-1,-4.719842672E-1,9.759725571E0,5.557330847E-1
7.195715960E-1,-4.624129832E-1,9.754940033E0,5.796613097E-1
